be,olmak,verb,He can,a teacher
have,sahip olmak,verb,I,a pen
do,yapmak,verb,She can,her homework
say,söylemek,verb,He can,goodbye
get,almak,verb,I will,soon as I can
make,yapmak,verb,She can,beautiful cakes
go,gitmek,verb,He can,to school every day
know,bilmek,verb,I,your brother
take,almak,verb,Please,this book with you
see,görmek,verb,I,the mountains from here
come,gelmek,verb,Please,to my birthday party
think,düşünmek,verb,I,it's a good idea
look,bakmak,verb,Please,at that beautiful sunset
want,istemek,verb,Do you,some chocolate
give,vermek,verb,Please,me the book
use,kullanmak,verb,You can,this tool for that
find,bulmak,verb,I,my lost keys
tell,anlatmak,verb,Can you,me your secret
ask,sormak,verb,Please,the teacher for help
work,çalışmak,verb,She can,in marketing
seem,görünmek,verb,It can,like a good solution
feel,hissetmek,verb,I,very happy today
try,denemek,verb,Please,the new restaurant
leave,ayrılmak,verb,I'm,for the airport
call,aramak,verb,Please,me when you arrive
need,ihtiyacı olmak,verb,I,your help
put,koymak,verb,Please,your books on the shelf
mean,anlamına gelmek,verb,What does this word,?
keep,tutmak,verb,Please,this secret
let,izin vermek,verb,Please,me help you
begin,başlamak,verb,The movie should,at seven o'clock
help,yardım etmek,verb,Can you,me with this problem
talk,konuşmak,verb,Let's,about this later
turn,dönmek,verb,Please,left at the traffic light
start,başlamak,verb,Please,your engines now
show,göstermek,verb,Please,me your new car
hear,duymak,verb,I,a strange noise last night
play,oynamak,verb,Children,in the park
run,koşmak,verb,She can,every morning in the gym
move,hareket etmek,verb,Don't,your head suddenly
like,beğenmek,verb,I really,your new haircut
live,yaşamak,verb,We,in Berlin
believe,inanmak,verb,I,in hard work
hold,tutmak,verb,Please,my hand tightly
bring,getirmek,verb,Please,me the newspaper
happen,olmak,verb,What can,at the market
write,yazmak,verb,Please,your name on this paper
provide,sağlamak,verb,The company can,good benefits
sit,oturmak,verb,Please,down and relax
stand,ayakta durmak,verb,Please,up straight
pay,ödemek,verb,Please,the bill now
meet,buluşmak,verb,Let's,at the cafe tomorrow
include,dahil etmek,verb,The price can,taxes already
continue,devam etmek,verb,We will,tomorrow morning
set,ayarlamak,verb,Please,the alarm for 7 am
learn,öğrenmek,verb,I want to,English fluently
change,değiştirmek,verb,Please,your clothes now
lead,öncülük etmek,verb,She can,the team to victory
understand,anlamak,verb,Do you,my question correctly
watch,izlemek,verb,We,a good movie last night
follow,takip etmek,verb,Please,the instructions carefully
stop,durmak,verb,Please,the car immediately
create,yaratmak,verb,He can,a new invention
speak,konuşmak,verb,She can,three languages fluently
read,okumak,verb,Please,the book completely
allow,izin vermek,verb,This ticket can,you to enter here
add,eklemek,verb,Please,salt to the soup
spend,harcamak,verb,I,money on books and supplies
grow,büyümek,verb,Plants,in sunlight and water
open,açmak,verb,Please,the door for me
walk,yürümek,verb,Let's,with me to the park
win,kazanmak,verb,Our team will,the game today
offer,teklif etmek,verb,They,me a great job
remember,hatırlamak,verb,I,your name perfectly
love,sevmek,verb,I,you very much
consider,dikkate almak,verb,Please,this carefully
appear,görünmek,verb,He can,happy and relaxed
buy,satın almak,verb,I will,a new car soon
wait,beklemek,verb,Please,for me here
die,ölmek,verb,The flowers,from drought and heat
send,göndermek,verb,Please,this letter today
expect,beklemek (ummak),verb,I,you tomorrow afternoon
build,inşa etmek,verb,They,a new house downtown
stay,kalmak,verb,Please,here and wait
fall,düşmek,verb,The leaves,in autumn every year
cut,kesmek,verb,Please,the bread with a knife
reach,ulaşmak,verb,We finally,the destination
kill,öldürmek,verb,His allergy can,him
raise,yükseltmek,verb,Please,your hand high
pass,geçmek,verb,Please,the salt to me
sell,satmak,verb,He can,cars for a living
require,gerektirmek,verb,The job can,experience
report,rapor etmek,verb,Please,to headquarters
decide,karar vermek,verb,They,to leave early
pull,çekmek,verb,Please,the rope harder
drive,araba sürmek,verb,He can,to work daily
return,geri dönmek,verb,Please,the book tomorrow
explain,açıklamak,verb,Please,the problem to us
hope,ummak,verb,I,you will succeed
push,itmek,verb,Please,the button now
pants,pantolon,noun,I wear,every day
t-shirt,tişört,noun,She put on a,this morning
shoes,ayakkabı,noun,These,are very comfortable
socks,çorap,noun,I have clean,
hat,şapka,noun,He always wears a,
shorts,şort,noun,These,are blue
skirt,etek,noun,She wears a beautiful,
blouse,bluz,noun,That pink,looks great
sandals,sandalet,noun,I wear,in the summer
scarf,atkı,noun,She wrapped her,tightly
shirt,gömlek,noun,He wears a white,
tie,kravat,noun,His red,looks professional
jacket,ceket,noun,I need a new,
belt,kemer,noun,Tighten your,now
dress,elbise,noun,She wears a beautiful,
bread,ekmek,noun,This fresh,smells wonderful
omelet,omlet,noun,She makes a good,every morning
pancake,pankek,noun,I really like,for breakfast
bagel,simit,noun,Have you ever tried a,
jam,reçel,noun,Spread,on the bread
cheese,peynir,noun,This,is delicious
sausages,sosis,noun,These,are very tasty
salad,salata,noun,The green, is healthy
chocolate,çikolata,noun,I really love,
crepe,krep,noun,A thin,is a French food
onions,soğan,noun,Please chop the,
lettuce,marul,noun,This fresh,is green
cookies,kurabiye,noun,These sweet,taste great
sugar,şeker,noun,Add some,to your coffee
flour,un,noun,We need,for bread
peas,bezelye,noun,These green,are nutritious
pineapple,ananas,noun,This sweet,is fresh
watermelon,karpuz,noun,A cold,is very refreshing
peppers,biberler,noun,These hot,are spicy
coconut,hindistan cevizi,noun,This fresh,tastes great
yogurt,yoğurt,noun,I eat,every morning
noodles,noodle,noun,These,are good
soup,çorba,noun,The hot,is delicious
cheeseburger,peynirli hamburger,noun,I like eating,
lemonade,limonata,noun,I drink,in summer
dessert,tatlı,noun,What's for,
pizza,pizza,noun,I really love,
pasta,makarna,noun,Cook the,carefully
soda,gazoz,noun,I drink,sometimes
yard,bahçe,noun,The big,is beautiful
slippers,terlik,noun,Wear your,at home
cushion,minder,noun,This soft,is comfortable
dining room,yemek odası,noun,We eat in the,
mat,paspas,noun,The dirty,needs cleaning
wall,duvar,noun,Paint the,white
dentist,dişçi,noun,Visit your,regularly
waiter,garson,noun,The kind,helped us
summer,yaz,noun,In,it's very hot
firefighter,itfaiyeci,noun,The brave,helped us
photographer,fotoğrafçı,noun,The professional,took pictures
a,bir,article,She is,teacher
about,hakkında,preposition,Tell me,the movie
above,üstünde,preposition,The picture is,the table
across,karşıdan karşıya,preposition,Walk,the street carefully
action,eylem,noun,That was a brave,
activity,etkinlik,noun,Swimming is a fun,
actor,aktör,noun,He is a famous,
actress,aktris,noun,She is a talented,
address,adres,noun,What is your home,
adult,yetişkin,noun,He is an,now
advice,tavsiye,noun,Thank you for your,
afraid,korkmuş,adjective,Don't be,of the dark
after,sonrasında,preposition,Come,dinner tonight
afternoon,öğleden sonra,noun,Good,everyone
again,tekrar,adverb,Say that,please
age,yaş,noun,What is your,
ago,evvel,adverb,I met him two years,
agree,kabul etmek,verb,I,with your idea
air,hava,noun,The,is fresh today
airport,havalimanı,noun,We arrived at the,early
all,tüm,determiner,I ate,the cookies
also,ayrıca,adverb,I,like chocolate
always,her zaman,adverb,She,arrives on time
amazing,inanılmaz,adjective,That was an,performance
and,ve,conjunction,I like apples,oranges
angry,sinirli,adjective,Why are you so,
animal,hayvan,noun,A dog is an,
another,bir diğer,determiner,Give me,chance please
answer,cevap,noun,I know the,to this question
any,herhangi,determiner,Do you have,questions
anyone,herhangi biri,pronoun,Is,home right now
anything,herhangi bir şey,pronoun,I don't want,else
apartment,daire,noun,She lives in a small,
apple,elma,noun,I eat an,every day
april,nisan,noun,My birthday is in,
area,alan,noun,This,is very quiet
arm,kol,noun,She broke her,yesterday
around,etrafında,preposition,Walk,the park with me
arrive,varmak,verb,When will you,at the station
art,sanat,noun,I love modern,
article,makale,noun,I read an interesting,today
artist,sanatçı,noun,She is a wonderful,
as,gibi,preposition,He works,a teacher
at,de/da,preposition,I'm,home now
august,ağustos,noun,School starts in,
aunt,hala,noun,My,lives in Istanbul
autumn,sonbahar,noun,The leaves fall in,
away,uzak,adverb,Please go,now
baby,bebek,noun,The,is sleeping
back,geri,noun,I'll be,soon
bad,kötü,adjective,That's a,idea
bag,çanta,noun,Put it in your,
ball,top,noun,Throw me the,
banana,muz,noun,I like eating,
band,müzik grubu,noun,My favorite,is playing tonight
bank,banka,noun,I need to go to the,
bath,banyo,noun,I need a hot,
bathroom,banyo,noun,Where is the,
beach,sahil,noun,Let's go to the,
beautiful,güzel,adjective,What a,day
because,çünkü,conjunction,I'm happy,it's Friday
become,haline gelmek,verb,She will,a doctor
bed,yatak,noun,Go to,early tonight
bedroom,yatak odası,noun,My,is upstairs
beer,bira,noun,He ordered a cold,
before,önce,preposition,Come,five o'clock
behind,arka,preposition,Stand,me please
below,altında,adverb,See the note,
best,en iyi,adjective,You are the,friend
better,daha iyi,adjective,This is,than that
between,arasında,preposition,Sit,your parents
bicycle,bisiklet,noun,I ride my,to school
big,büyük,adjective,This is a,house
bike,bisiklet,noun,Where is my,
bill,fatura,noun,Please pay the,
bird,kuş,noun,I saw a beautiful,
birthday,doğum günü,noun,Happy,to you
black,siyah,adjective,I like your,shoes
blog,blog,noun,I write a,every week
blonde,sarışın,adjective,She has, 
blue,mavi,adjective,The sky is,today
boat,tekne,noun,We sailed in a,
body,vücut,noun,Exercise is good for your,
book,kitap,noun,I'm reading a good,
boot,çizme,noun,Wear your,in winter
bored,sıkılmış,adjective,I'm so,right now
born,doğmak,verb,I was,in Turkey
both,ikisi birden,determiner,I like,options equally
bottle,şişe,noun,Open the,please
box,kutu,noun,Put it in the,
boy,erkek çocuk,noun,The little,is playing
boyfriend,erkek arkadaş,noun,This is my,
break,kırmak,verb,Please don't,the glass
breakfast,kahvaltı,noun,I eat,every morning
brother,erkek kardeş,noun,He is my older,
brown,kahverengi,adjective,She has big,eyes
building,bina,noun,That is a very tall,
bus,otobüs,noun,I take the,to work
business,iş,noun,He owns a small,
busy,meşgul,adjective,I am very,today
but,ama,conjunction,I tried,I failed
butter,tereyağı,noun,I need some,for the bread
by,tarafından/ile,preposition,This book was written,him
bye,hoşça kal,interjection,I have to go now,
cafe,kafe,noun,Let's meet at the,
cake,pasta,noun,This chocolate,is delicious
camera,kamera,noun,I bought a new,
can,-ebilmek,modal verb,I,swim very well
cannot,-ememek,modal verb,I,find my keys
capital,başkent,noun,Ankara is the,of Turkey
car,araba,noun,I bought a new,yesterday
card,kart,noun,Here is my business,
career,kariyer,noun,She wants a,in medicine
carrot,havuç,noun,I ate a,for a snack
carry,taşımak,verb,Can you,this bag for me?
cat,kedi,noun,My,is sleeping on the sofa
CD,CD,noun,I listen to this,often
cent,sent,noun,It costs exactly one,
centre,merkez,noun,We walked to the city,
century,yüzyıl,noun,We live in the 21st,
chair,sandalye,noun,Please sit on this,
chart,grafik,noun,Look at the,on the wall
cheap,ucuz,adjective,This phone is very,
check,kontrol etmek,verb,Please,your answers again
chicken,tavuk,noun,We had,for dinner
child,çocuk,noun,The,is playing in the park
choose,seçmek,verb,You can,any color you like
cinema,sinema,noun,Let's go to the,tonight
city,şehir,noun,New York is a big,
class,sınıf/ders,noun,My math,starts at 9 AM
classroom,sınıf,noun,The students are in the,
clean,temiz,adjective,You must keep your room,
climb,tırmanmak,verb,He likes to,mountains
clock,saat,noun,Look at the,on the wall
close,kapatmak,verb,Please,the door behind you
clothes,kıyafetler,noun,I need to wash my,
club,kulüp,noun,She joined the chess,
coat,mont,noun,Put on your winter,
coffee,kahve,noun,I drink,every morning
cold,soğuk,adjective,The weather is very,
college,üniversite,noun,She is going to,next year
colour,renk,noun,Blue is my favorite,
ancient,antik,adjective,This building is very,
collect,toplamak,verb,I like to,stamps
forest,orman,noun,We walked in the,
fruit,meyve,noun,I eat fresh,every day
historical,tarihi,adjective,This is a,site
lake,göl,noun,They swam in the,
pick,toplamak,verb,Please,a card
seaside,deniz kenarı,noun,We stayed near the,
sightseeing,turistik gezi,noun,We went,on our vacation
snowball,kartopu,noun,He threw a,at his friend
snowman,kardan adam,noun,The kids built a,in the yard
common,yaygın,adjective,This is a very,mistake
company,şirket,noun,He works for a big,
compare,karşılaştırmak,verb,You shouldn't,yourself to others
complete,tamamlamak,verb,Please,this application form
computer,bilgisayar,noun,I use my,for work
concert,konser,noun,We went to a rock,
conversation,sohbet,noun,We had a good,
cook,pişirmek,verb,I like to,dinner for my family
cooking,yemek pişirmek,noun,She is very good at,
cool,serin/havalı,adjective,The weather is,today
correct,doğru,adjective,That is the,answer
cost,mal olmak,verb,How much does it,
could,-ebilirdi/yapabilirdi,modal verb,I wish I,help you
country,ülke,noun,Turkey is a beautiful,
course,kurs/ders,noun,I am taking an English,
cousin,kuzen,noun,My,lives in London
cow,inek,noun,The,gives us milk
cream,krem/krema,noun,I like strawberries with,
culture,kültür,noun,I love learning about Japanese,
cup,fincan/kupa,noun,I want a,of hot tea
customer,müşteri,noun,The,is always right
dad,baba,noun,My,is very hardworking
dance,dans etmek,verb,Would you like to,with me?
dancer,dansçı,noun,She is a professional,
dancing,dans etmek,noun,I love,in the rain
dangerous,tehlikeli,adjective,Playing with fire is,
dark,karanlık,adjective,The room was very,
date,tarih/randevu,noun,What is today's,
daughter,kız evlat,noun,His,is five years old
day,gün,noun,Have a nice,
dear,sevgili,adjective,You are my,friend
december,aralık,noun,My birthday is in,
delicious,lezzetli,adjective,This soup is very,
describe,tanımlamak/betimlemek,verb,Can you,the suspect?
description,tanım/betimleme,noun,Read the job,carefully
design,tasarım,noun,The building has a modern,
desk,sıra/çalışma masası,noun,My books are on the,
detail,detay/ayrıntı,noun,Please explain it in,
dialogue,diyalog,noun,I had a,with my friend
dictionary,sözlük,noun,Look up the word in a,
diet,diyet,noun,She is on a strict,
difference,fark,noun,There is a big,between them
different,farklı,adjective,These two books are very,
difficult,zor,adjective,This math problem is very,
dinner,akşam yemeği,noun,We ate,at 8 PM
dirty,kirli,adjective,Your hands are very,
discuss,tartışmak,verb,Let's,this problem later
dish,tabak,noun,Please wash the,
doctor,doktor,noun,She is a,at the hospital
dog,köpek,noun,My,is playing in the yard
dollar,dolar,noun,This costs five,
door,kapı,noun,Please,the door gently
down,aşağı,adverb,Please come,the stairs
downstairs,alt katta,adverb,I'll see you,
draw,çizmek,verb,Can you,a picture for me
driver,şoför,noun,The,was very careful
during,sırasında,preposition,I fell asleep,the movie
each,her biri,determiner,Please give,person a gift
ear,kulak,noun,She hurt her,yesterday
early,erken,adjective,Wake up,in the morning
east,doğu,noun,We traveled,to the coast
easy,kolay,adjective,This exercise is very,
egg,yumurta,noun,I ate an,for breakfast
eight,sekiz,number,There are,books on the shelf
eighteen,on sekiz,number,She is,years old
eighty,seksen,number,My grandfather is,
elephant,fil,noun,We saw a big,at the zoo
eleven,on bir,number,School starts at,AM
else,başka,adverb,Tell me something,
email,e-posta,noun,Please send me an,
end,son,noun,The,of the movie was sad
enjoy,keyfini çıkarmak,verb,I really,your company
enough,yeterli,adjective,I have,money for the trip
euro,euro,noun,The book costs five,
even,hatta,adverb,This problem is,harder than I thought
evening,akşam,noun,I like to read in the,
event,olay,noun,That was an important,
ever,hiç,adverb,Have you,seen snow
every,her,determiner,I go to school,day
everybody,herkes,pronoun,I know,here
everyone,herkes,pronoun,We invited,to the party
everything,her şey,pronoun,I love,about this place
exam,sınav,noun,I studied hard for the,
example,örnek,noun,Can you give me an,
excited,heyecanlı,adjective,The children are very,
exciting,heyecan verici,adjective,That was an,adventure
expensive,pahalı,adjective,This restaurant is very,
extra,ekstra,adjective,I need an,blanket
eye,göz,noun,She has blue,
face,yüz,noun,She has a beautiful,
fact,gerçek,noun,That's an interesting,
false,yanlış,adjective,That statement is,
family,aile,noun,My,is very close
famous,ünlü,adjective,He is a,actor
fantastic,harika,adjective,That's a,idea
far,uzak,adverb,The school is,from here
farm,çiftlik,noun,My grandfather lives on a,
farmer,çiftçi,noun,The,grows vegetables
fast,hızlı,adjective,This car is very,
fat,şişman,adjective,That pig is very,
father,baba,noun,My,works in an office
favourite,favori,adjective,What is your,color
february,şubat,noun,My friend's birthday is in,
feeling,hissiyat,noun,I have a good,about this
festival,festival,noun,We went to a music,
few,az,determiner,Only a,people came
fifteen,on beş,number,She is,years old
fifth,beşinci,number,He won the,place
fifty,elli,number,My mother is,years old
fill,doldurmak,verb,Please,this cup with water
film,film,noun,I watched a good,last night
final,son/final,adjective,This is the,exam
fine,iyi,adjective,I feel,today
finish,bitirmek,verb,Please,your homework
fire,ateş,noun,Don't play with,
first,ilk,determiner,That is my,choice
fish,balık,noun,I caught a,in the river
five,beş,number,I have,apples
flat,daire,noun,She lives in a,
flight,uçuş,noun,My,leaves at 10 AM
floor,kat,noun,We live on the second,
flower,çiçek,noun,This beautiful,is red
fly,uçmak,verb,Birds can,in the sky
food,yemek,noun,This,is delicious
foot,ayak,noun,My,is sore
football,futbol,noun,I like playing,
for,için,preposition,This gift is,you
forget,unutmak,verb,Please don't,your keys
form,form,noun,Please fill out this,
forty,kırk,number,He is,years old
four,dört,number,There are,people in my family
fourteen,on dört,number,She is,years old
fourth,dördüncü,number,He came in the,place
free,ücretsiz,adjective,The admission is,
friday,Cuma,noun,I see my friends on,
friend,arkadaş,noun,He is my best,
friendly,dostça,adjective,She is very,
from,dan/den,preposition,I am,Turkey
front,ön,noun,The,of the house is beautiful
full,dolu,adjective,The glass is,of water
fun,eğlence,noun,We had so much,at the party
funny,komik,adjective,That joke is very,
future,gelecek,noun,I'm excited about the,
game,oyun,noun,Let's play a,
garden,bahçe,noun,I grow flowers in my,
geography,coğrafya,noun,I study,in school
girl,kız,noun,She is a smart,
girlfriend,kız arkadaş,noun,He has a new,
glass,bardak,noun,I need a,of water
good,iyi,adjective,That's a,idea
goodbye,hoşça kalın,exclamation,Say,to your friends
grandfather,büyükbaba,noun,My,lives in the countryside
grandmother,büyükanne,noun,My,makes delicious food
grandparent,büyükanne/baba,noun,I visit my,every weekend
great,harika,adjective,That was a,performance
green,yeşil,adjective,The,grass is beautiful
grey,gri,adjective,The sky is,today
group,grup,noun,We formed a,to study together
guess,tahmin etmek,verb,Can you,what I'm thinking?
guitar,gitar,noun,He plays the,very well
gym,spor salonu,noun,I go to the,three times a week
hair,saç,noun,She has long,
half,yarı,noun,Can I have,of your pizza?
hand,el,noun,Raise your,if you know the answer
happy,mutlu,adjective,I am,when I'm with my friends
hard,zor,adjective,This exam is very,
hate,nefret etmek,verb,I,spicy food
have to,zorunda olmak,modal verb,I,go home now
he,o,pronoun,Is,coming to the party?
head,baş,noun,My,hurts
health,sağlık,noun,Good,is important
healthy,sağlıklı,adjective,Eating vegetables is,
hello,merhaba,exclamation,Say,to everyone
her,onun,pronoun,This is,book
here,burada,adverb,Come,,sit down
hey,hey,exclamation,,what's up?
hi,merhaba,exclamation,Say,to your friend
high,yüksek,adjective,The building is very,
him,onu,pronoun,I saw,yesterday
his,onun,determiner,This is,house
history,tarih,noun,I love studying,
hobby,hobi,noun,Reading is my favorite,
holiday,tatil,noun,I'm looking forward to the,
home,ev,noun,I go,every day
homework,ödev,noun,I need to do my,tonight
horse,at,noun,The,is running fast
hospital,hastane,noun,She works at the,
hot,sıcak,adjective,It's very,outside
hotel,otel,noun,We stayed at a nice,
hour,saat,noun,The class is one,long
house,ev,noun,My,is near the park
how,nasıl,adverb,,are you today?
however,ancak,adverb,I wanted to go, he didn't
hundred,yüz,number,There are,students in the school
hungry,aç,adjective,I'm very,right now
husband,eş,noun,Her,is a doctor
I,ben,pronoun,,am a student
ice,buz,noun,There's,on the lake
ice cream,dondurma,noun,I love eating,in summer
idea,fikir,noun,That's a great,
if,eğer,conjunction,,you come early we can talk
imagine,hayal etmek,verb,Can you,winning the lottery?
important,önemli,adjective,This is very,
improve,geliştirmek,verb,I want to,my English
in,içinde,preposition,We are,the classroom
information,bilgi,noun,I need some,about the project
interest,ilgi,noun,I have an,in music
interested,ilgilenmiş,adjective,Are you,in sports?
interesting,ilginç,adjective,That movie is very,
internet,internet,noun,I use the,to study
interview,röportaj,noun,The,went well
into,içine,preposition,Put the books,the bag
introduce,tanıştırmak,verb,Let me,you to my friend
island,ada,noun,We went to a beautiful,
it,o,pronoun,,is raining today
its,onun,determiner,This is,toy
January,Ocak,noun,,is the first month
jeans,kot,noun,He wears,to work
job,iş,noun,She has a good,
join,katılmak,verb,Can I,your group?
journey,yolculuk,noun,The,was long
juice,meyve suyu,noun,I drink,for breakfast
July,Temmuz,noun,,is the seventh month
June,Haziran,noun,,is the sixth month
just,sadece,adverb,I,want to help
key,anahtar,noun,I lost my,
kilometre,kilometre,noun,The town is 10,away
kind,çeşit,noun,What,of food do you like?
kitchen,mutfak,noun,I cook,the kitchen
land,arazi,noun,The,is green
language,dil,noun,I speak three,
large,büyük,adjective,That elephant is very,
last,son,determiner,I watched the,movie yesterday
late,geç,adjective,He arrived,to class
later,daha sonra,adverb,I'll see you,
laugh,gülmek,verb,We all,at the joke
left,sol,adjective,Turn,at the corner
leg,bacak,noun,I hurt my,playing soccer
lesson,ders,noun,The,was interesting
letter,mektup,noun,I received a,from my friend
library,kütüphane,noun,I study at the,
lie,yalan söylemek,verb,Please don't,to me
life,yaşam,noun,I love my,
light,ışık,noun,The,came through the window
line,çizgi,noun,Draw a,on the paper
lion,aslan,noun,The,is sleeping
list,liste,noun,Make a,of things to do
listen,dinlemek,verb,Please,to me
little,küçük,adjective,The baby is,
local,yerel,adjective,This is a,restaurant
long,uzun,adjective,Her,hair is beautiful
lose,kaybetmek,verb,I hope we don't,the game
lot,çok,noun,I have a,of homework
lunch,öğle yemeği,noun,Let's eat,together
machine,makine,noun,The,is broken
magazine,dergi,noun,I read a,every month
main,ana,adjective,The,road is busy
man,adam,noun,The,is very tall
many,çok,determiner,How,people are coming?
map,harita,noun,I need a,of the city
March,Mart,noun,,is the third month
market,pazar,noun,I go to the,on Sundays
married,evli,adjective,They are,
match,maç,noun,The,was exciting
May,Mayıs,noun,,is the fifth month
maybe,belki,adverb,,we can go tomorrow
me,ben,pronoun,Can you help,?
meal,öğün,noun,Breakfast is my favorite,
meaning,anlam,noun,What is the,of this word?
meat,et,noun,I don't eat,
meeting,toplantı,noun,The,starts at 9 AM
member,üye,noun,He is a,of the club
menu,menü,noun,Can I see the,?
message,mesaj,noun,I got a,from you
metre,metre,noun,The room is 5,long
midnight,gece yarısı,noun,The party ends at,
mile,mil,noun,The town is 10,away
milk,süt,noun,I drink,for breakfast
million,milyon,number,There are,people in the city
minute,dakika,noun,Wait a,please
miss,özlemek,verb,I,my family
mistake,hata,noun,I made a,on the test
model,model,noun,This is the new,
modern,modern,adjective,She has a,apartment
moment,an,noun,Wait a,
Monday,Pazartesi,noun,,is the first day of the week
money,para,noun,I need some,for the trip
month,ay,noun,This,has 30 days
more,daha,determiner,I want,coffee
morning,sabah,noun,Good,everyone
most,çoğu,determiner,,people like ice cream
mother,anne,noun,My,is a teacher
mountain,dağ,noun,We climbed a,last week
mouse,fare,noun,The,is in the house
mouth,ağız,noun,Open your,
movie,film,noun,Let's watch a,tonight
much,çok,determiner,How,time do we have?
mum,anne,noun,My,works at the hospital
museum,müze,noun,We visited the,yesterday
music,müzik,noun,I love,
must,zorunlu,modal verb,You,study hard
my,benim,determiner,This is,house
name,ad,noun,What is your,?
natural,doğal,adjective,This is,beauty
near,yakın,preposition,The school is,my house
negative,olumsuz,adjective,That's a,comment
neighbour,komşu,noun,My,is very friendly
never,asla,adverb,I,eat spicy food
new,yeni,adjective,She has a,dress
news,haber,noun,I heard the,on TV
newspaper,gazete,noun,I read the,every morning
next,sonraki,adjective,See you,week
next to,yanında,preposition,The café is,the bank
nice,güzel,adjective,That's a,day
night,gece,noun,Good,sleep well
nine,dokuz,number,I have,pencils
nineteen,on dokuz,number,,is between eighteen and twenty
ninety,doksan,number,,is a big number
no,hayır,exclamation,,thanks
no one,hiç kimse,pronoun,Trust,
nobody,hiç kimse,pronoun,There is,in the room
north,kuzey,noun,The wind is blowing from the,
nose,burun,noun,He has a cold and a runny,
not,değil,adverb,I am,hungry right now
note,not,noun,She left a,on the fridge
nothing,hiçbir şey,pronoun,There is,left in the fridge
November,Kasım,noun,My birthday is in,
now,şimdi,adverb,We need to leave right,
number,numara,noun,What is your phone,?
nurse,hemşire,noun,The,checked my blood pressure
object,nesne,noun,What is that shiny,on the floor?
o'clock,saat,adverb,The meeting starts at three,
October,Ekim,noun,Halloween is celebrated in,
of,nin,preposition,Can I have a glass,water?
off,kapalı,adverb,Please turn,the lights
office,ofis,noun,She works in an,
often,sık sık,adverb,I,go to the cinema
oh,ah,exclamation,,I did not see you there!
OK,tamam,exclamation,,we can do that!
old,eski,adjective,My grandfather is very,
on,üzerinde,preposition,The book is,the table
once,bir kez,adverb,I go to the gym,a week
one,bir,number,I have only,brother
onion,soğan,noun,I am crying because of the,
online,çevrimiçi,adjective,I bought an,ticket
only,sadece,adverb,I have,five minutes left
open,açmak,verb,Could you,the window?
opinion,fikir,noun,What is your,about this?
opposite,karşısında,preposition,The bank is,the hospital
or,veya,conjunction,Do you prefer tea,coffee?
orange,portakal,noun,I drink fresh,juice every morning
order,sipariş vermek,verb,I would like to,a pizza
other,diğer,adjective,Can I see the,options?
our,bizim,determiner,This is,new car
out,dışarı,adverb,He just went,for a walk
outside,dışarıda,adverb,It is raining,
over,üzerinde,preposition,The plane is flying,the city
own,kendi,adjective,I have my,bedroom
page,sayfa,noun,Please open your book to,ten
paint,boyamak,verb,I want to,my room blue
painting,tablo,noun,That is a beautiful,on the wall
pair,çift,noun,I need a new,of shoes
paper,kağıt,noun,Can I borrow a piece of,?
paragraph,paragraf,noun,Please read the first,
parent,ebeveyn,noun,You need a signature from a,
park,park,noun,We are walking in the,
part,parça,noun,This is the best,of the movie
partner,ortak,noun,He is my business,
party,parti,noun,Are you coming to my birthday,?
passport,pasaport,noun,Do not forget your,at the airport
past,geçe,preposition,It is a quarter,two
pay,ödemek,verb,I will,for the drinks
pen,tükenmez kalem,noun,Please sign here with a black,
pencil,kurşun kalem,noun,Can I borrow your,for the exam?
people,insanlar,noun,There are too many,here
pepper,karabiber,noun,Can you pass the salt and,?
perfect,mükemmel,adjective,The weather is,today
period,dönem,noun,We learned about the Roman,
person,kişi,noun,She is a very kind,
personal,kişisel,adjective,Please do not touch my,belongings
phone,telefon,noun,My,is ringing
photo,fotoğraf,noun,Let us take a group,
photograph,fotoğraf,noun,This is an old,of my grandmother
phrase,ifade,noun,How do you pronounce this,?
piano,piyano,noun,He is learning to play the,
picture,resim,noun,Can you draw a,of a cat?
piece,parça,noun,Would you like a,of cake?
pig,domuz,noun,The,is sleeping in the mud
pink,pembe,adjective,My favorite color is,